fish_id,fish_class,avg_intensity,avg_gradient,avg_texture,std_intensity,std_gradient,std_texture
1,control,97.15987561200116,346.92325726880574,15.667902092483482,104.01169535248312,616.1905504736022,20.55225023571761
2,control,98.90590805703022,346.0611064706497,15.470676746822145,117.18235587931827,674.3932266155996,22.163631599536753
3,control,124.7555371037236,502.16256682403645,20.565099764920173,160.66271755061626,963.5464091175492,30.57896694102231
4,control,147.08877563476562,605.1743177123046,23.872697389645023,200.6626964044666,1136.0157551074228,35.91681383065523
5,control,60.0057249886649,145.23026482800657,8.693170615484707,23.690223033576125,193.88150799236152,7.22346046956873
6,control,76.77480371536747,233.95114862004195,11.528386223727487,72.10847807361924,450.5451972587991,15.173112047757648
7,control,106.28957516806466,385.292420654158,17.218341379447928,107.22348997104453,618.7190356957342,20.80636118373501
8,control,75.17676598685128,225.75283532896992,11.634853606070719,53.4430419615318,346.9426731925995,12.22500365787464
9,control,139.30237630208333,584.8076808376621,22.825505517176406,210.3120110170355,1306.2274714455546,40.08253110230115
10,control,99.29065726785099,350.20448793375874,15.864276178238201,100.03612865338162,609.9254666204749,20.256386560018395
11,anesthetic,85.00196647644043,264.35158207191546,13.09126993937153,67.12784742331232,427.58522014008605,14.78643915793458
12,anesthetic,65.95208717794979,155.67018870430744,9.056833886125084,30.632584146724994,200.12776453747864,7.836786010714524
13,anesthetic,58.98413400650024,122.97765728592235,7.604495968360235,17.347597326915427,151.48554642807835,5.620881691205102
14,anesthetic,71.04945440853344,178.7165525619072,9.92635353423043,43.45908684077305,267.1355790918194,9.969416740101142
15,anesthetic,70.7615412498007,183.56540681164893,9.995444318768302,44.29770989193809,281.0439810343824,10.238882592109814
16,anesthetic,68.37570381164551,165.09179998919402,9.586491977263654,33.958549275690416,232.98135057032002,8.834245103021667
17,anesthetic,72.27087632999864,187.2789193927001,10.163561328314076,46.41927553018737,284.63873275435043,10.436056436178074
18,anesthetic,58.17212108855552,115.73481847368541,7.2557521593863505,17.02275779129205,147.02690091080404,5.520033066283971
19,anesthetic,80.5037109375,212.69799203213742,11.608796695775194,54.594209041588805,300.95908522736056,11.426327144440933
20,anesthetic,63.502346783149534,143.95463141125433,8.506817311231817,27.2641641383063,191.91408513896076,7.319081040208186
21,stimulant,185.1571133931478,706.85231999794,26.98858561116833,305.6392214572355,1464.5090615647937,45.59164458948631
22,stimulant,62.66431238810221,140.25019642558388,8.166227191780614,39.48137049888261,219.4196380842972,8.390940123483123
23,stimulant,200.26770193917412,780.2002347059228,29.422382251057627,324.51738046697255,1577.5839080614523,48.711348955108356
24,stimulant,118.33621767589024,383.735865839437,16.886352285009476,159.3893222527063,732.0709508665551,24.612017888619118
25,stimulant,163.85686894467003,564.4146087260219,23.046942257618902,234.7637780137056,1043.8695468047554,34.27232194846646
26,stimulant,155.91422261132135,597.7965323145755,24.015111272365285,215.17073830787726,1139.6084697319757,35.96902974824878
27,stimulant,71.56229217529297,186.36513358934556,10.110106326121365,49.57450946015677,284.4772314394876,10.583559376134765
28,stimulant,222.8043668270111,889.45662917416,32.999003291806545,350.9911218234868,1715.712430902592,52.63515501781529
29,stimulant,141.55774708283252,505.78607502565586,21.257107806544557,179.89787642505004,896.6461661758055,29.187397470113094
30,stimulant,67.71188267299107,167.00493645963783,9.331862621230844,40.041383686124256,266.21539003724706,9.664264448707117
